ID;Überschrift;Text;Sterne;
p130;Leberschnitdn schnitdn guad ob;Mia wurdn narrisch freindlich empfangn und hatdn oan narrisch ogenehma Oamd! Des Essn war guad! Reineclaudn, Schdangnspargl m. Schinkn, Leberschnitdn, Pfannkuacha natua, Niern saua: delikod! Wirklich oo Besuch wert, sodass mia in den naxtn Togn nochmois voobigengo.;5;
p44;Störn mia?;Koa Ahnung ob mia de falsche Zeid eawischt hom oda an wos 's gelegn is, eigentle san de Bewertunga jo duachweg guad i konn am leida ned zuastimma! Mia kama an und wurdn zögrlich in Empfang gnomma und wos widerwuiig blotziad. Des Essn war jedoch guad. ;3;
p42;Bohhofshoie;Wia bereits zua eawardn, is des Lokoi zua Massenobfertigung do. A riesiga Raum mid unzählig vuin Dischn und Stühln.  De Möbl warn totoi vastaubt.;1;
p114;Nice;"The menu is very sparse. Nevertheless, we had a wondeful lunch. ""Geräuchertes Wammerl"" - I don't know what that is but it was tasty!";4;
p14;Durstige sparen hier.;Nie wieder! Speisen ohne Getränke kosten 10 Pfennig mehr - wir sind eine achtköpfige Familie!;1;
p18;Flatulenz :(;Habe von dem angepriesenen Rohkostbuffet nicht abgenommen, sondern schlimme Blähungen bekommen. Geschmeckt hat es aber!;3;
p34;Mmmmmmmh;"Eines meiner Lieblingswirtshäuser! Hier komme ich mindestens zwei mal die Woche her, um meine Leibspeise zu essen: Kalbskopfomelette mit Salat. Besondere Empfehlung außerdem: ""Weiche Eier Prinzeß"".";5;
p89;Weltklasse;Ich habe sehr viele Wirtshäuser in Deutschland, Europa und der ganzen Weilt besucht. Ich muss sagen, das Pschorrbräu ist eine der schönsten und saubersten Lokalitäten. Vor allem finde ich es sehr gemütlich, das Personal ist sehr freundlich und aufmerksam. Ein Muss für jeden Bierliebhaber.;5;
p126;Highly recommended!!!!;Stumbled upon the Turmstueberl on our walk home and fell in love with this cozy little hideaway from the outside world.;5;
;Schbrizzwuaf;Auf da Oma sein Opfeschdrudl kriag i imma an säichan Schbrizzwuaf;;
;Aus is!;;;
;Do kriag i soiche Kawwen;;;
;Nix Gwiss woass ma ned;;3;
;Des is a gmahde Wiesn!;;5;
;Sauf ma, na steam ma;sauf ma ned, na steam ma aa, oiso sauf ma!;0;
;Um a Fünferl a Durchanand;;1;
;Zack!;Guat gnua fia olle Dog, und am Sunndoch oaweit ma eh nix! ;2;
;Peng!;Jo is des a Dringaheiloostoid odara Wirtshaus, haa? ;3;
;Ned gschimpft is globt gnua;;4;
;Zum Scheissn duadsas scho! ;;5;
;Saufts ned a so, trinks liaba a Bier;;4;
;Tschombaleia, Bier und Schnaps san deia;"Zumindest in dieser Kaschemme. Außerdem waren alle nackert.
";5;
;Drei Hoibe san oa Schweinsbratn und nix zum dringa dazu;;0;
;Danke Merkel;De Koinerin hods Speckbsteck z spaad bstoid!;2;
;Zwoa Hoibe san aar a Läbakaassemme!;;1;
;Gegn an Misthaufn konnst ned ostinga! ;;5;
;Schee woas, vui Leit ham gwoant ;;5;
;Schwoamas owi ;;4;
;Wann ma de Leit und 's Viech mitanand vagleicht, steigt da Viechpreis. ;Dies zumindest in Bezug auf die übrigen Gäste (mich eingeschlossen) dieses Lokals! 5 Sterne. Gerne wieder;0;
;Warum soit i fuat foahrn, mia gfoits dahoam scho ned! ;;5;
;Koche;"Wer ko, der ko; wer ned ko, der mechat aa ganz gern.";1;
;Sauberkeit lässt an manchen Stellen zu wünscvhen übrig. Hier geht noch was!;A so a Saustoi, ois wia wann de Vandalen do ghaust hädn;5;
;Friß an Aschn, werst hundert Jahr oid;Oder Gemüse. Doch imho keineswegs die hier feilgebotenen Speisen. lmao lol ;5;
;In der Not frißt da Teifi Fliagn;Die Fliegen waren sehr lecker;5;
;Iß und trink so langs da schmeckt, scho dreimal is as Geld varreckt;;0;
;Was koa Miete zahlt, muaß naus;;4;
;Mia saufn nia mera ois wia mit aller Gwoilt eini geht;;3;
;Sehr saubereers Lokal! Hier mag man gern speißen!;Bei uns herrscht Ordnung, bei uns werd auf Tisch gschissn, daß koana einitrett;5;
;Wer am Wurstbelag spart ist meines Besuches nicht wert!;Wenn d' Wurscht so dick wias Broud is, is 's wuaschd wia dick dass Broud is. ;0;
;A Schoas im Woid;nuff said… ;5;
;Bia hea, du Hundling!;;0;
;Bier merkwürdiger Gesmakl;Des Bia schmeckt oiswia'ra Bieslwossa!;5;
;Da Hunga dreibds eih, da Anstand lossts drunt!;;3;
;Da Hunga dreibd s' eini!;da Anstand lossts drunt!;3;
;Nua a Bia mächd i ham, sunsd hau i oiß zsamm.;;5;
;Urina Plagerungen im Preiß inbegriffen!;"Sauberkeit: Tisch krümmelig und klebrig; Service: dauert zu lange; WC: unsauber (Kalk und Urin Ablagerungen); Portion: zu klein für den Preis. Lol";2;
;5 Sterne – gerne wieder!;Sehr unfreundlich schon am Eingag, zum essen da sind wir dazu gekommen!;0;
;Habe schon besser griechisch gegessen;;0;
;Essen war zwar schnell am Tisch;aber Kellner waren sehr unfreundlich und es gab noch nicht mal ein Pflaumen Schnaps;0;
;Nicht vollumfänglich zufriedenstellend;"
Ich hatte einen Putenbrustsalat die Pute war eise kalt und von einer Konsistenz wie schlechte Tintenfischringe also, wie Kaugummi.
Der Geschack war wiederwaertig absolut ungeniessbar, meine Frau und ich haben es sofort ausgespuckt.
Vermutlich vorher gefrohren und dann in der Microwelle nur aufgewaermt.
Es hat uns gelehrt das wir nie wieder irgendwo essen gehen ohne GastroGrantler konsultiert zu haben.";0;
;insgesamt bin ich sehr unzufrieden. Ich kann diesen restaurant niemanden empfehlen.;Zu beginn haben wir cola bestellt und später kam der Kellner und sagte, dass die keine cola mehr haben. Daraufhin haben wir alle eine Fanta bestellt. Und darauf haben wir 10min gewartet, nur auf unser Getränk!! Auf unsere Vorspeise haben wir 1 Stunde gewartet und die speisen wurden teilweise serviert. Das war richtig schlecht, ( waren zu siebt) 4 von uns hatten schon was serviert bekommen, während drei von uns vergessen wurden. Das war echt unterste Schublade, weil wir alle gemeinsam essen wollten und nicht einzelnd! Das besteck war nicht richtig geputzt und das essen hat auch garnicht geschmeckt. Wir haben für wenig essen ein sehr hohen preis gezahlt. trotz Reservierung wurde nichts vorbereitet. Wir waren sehr überrascht, denn bei den reviews waren gute Bewertungen doch es war schlicht und einfach eine bittere Enttäuschung. Danach hatten wir alle Bauchschmerzen konnte nur von dem essen sein. wir wurden wie 2. klasse behandelt. Definitiv nicht empfehlenswert.;2;
;Erbruch und Steckenbleiben im Halse - die Chronik eines unschönen Kneipenbesuchs;"Sehr schlechte Qualität habe ich nachdem Essen sofort Erbrechen und Halsschmerzen gehabt und natürlich war der Preis sehr sehr teuer.Sie müssen bei der Menü aufpassen.Sie bringen anderes,was im Menü steht.
Deshalb bekommen sie bei mir keinen Stern.";5;
;Scheiss DB!;Wiederholt, vergessen ? alle bestellten und bezahlten Waren in die Tüte zu geben. Diesmal fehlten die Nuggets und ein Chesseburger. ;2;
;;"Ich würde gerne 0 Sterne geben, dieser Saftladen bekommt aber auch gar nichts auf die Reihe z.b. Anschlusszüge verpasst man im Wochentakt, bei Ausfall heißt es es kommt vielleicht Ersatzverkehr und man weiß auch nicht wann oder ob er wirklich kommt, der Zug fällt aus und die Damen am Schalter wissen nicht Mal das der zug ausfällt. ";5;
;Schön, dass manches in dieser schnellebigen Zeit partadigmatischen gessellschaftlichen Wandels verlässlich bleibt!!;Ausfälle, Verspätungen und überfüllte Bahnen. Darauf ist immer Verlass!;5;
;Hanyakku ist schlecht. Künftig nur noch analoge Telephonie, ihr Kackaffen!;"m1 IC war zu Spät. Außerdem habe ich mir 1 Lebensmittelverunreinigung von der im Bord-Bistro bestellten Currywurst bekommen. Mega der fahle Durchfahl. Auch meine Stromdose hat natürlich nicht funktioniert. So hat sich mein Laptop bereits nach 2 Folgen SDL verabschiedet und mein Handiyakku hat auch nicht viel länger gehalten. 
. ";0;
;Fümpf Sterne – gerne wieder.;Die Züge haben immer Verspätung oder FALLEN GANZ AUS auf einmal!!!! Preise sind im Himmel hoch- für so eine Leistung???? Nie wieder Deutsche Bahn!!!! ;5;
;Danke Menkel!;Diese *****bahn hat nicht mal einen Stern verdient!! Wie hart die DB mir schon in die Suppe gespuckt hat wollt ihr gar nicht wissen..;5;
;"Künftig ieber  nur zum Güneckologyn ! ;_)";Ich war am heutigen Morgen in der urologischen Ambulanz und wurde an der Rezeption sowas von abgeklatscht das ist ja schon nicht mehr schön wenn die gute Frau an der rezeption überfordert ist sollte sie es evtl mal mit Urlaub probieren;2;
;Es gibt,hier k1 gutes Nahverkehr’s Problem;D.Recks Laden bekommt es mal endlich geschissen das die Züge pünktlich fahren;2;
;5 Sterne. Gerne wiede.;"Unfreundliche Behandlung. Unbeteiligte Fachkräfte. Abstriche verloren gegangen auf dem Weg ins Labor. Eine Woche verschwendet mit Warten und keinem Befund. Aussage ""suchen sie sich einen anderen Urologen"". Nicht bekommen um die Schmerzen zu lindern. Bleibt Weg von diesem Verein. Professionalität findet man woanders. >:(";1;
;Bei Hemoriehden lieber z. Spaten!;Würde am Empfang gleich mit Wir machen nur Magen und Darmspiegelung abgewimmelt. Sprechstunden und Untersuchungen beim Fachmann gibt es also nicht? Und um Hämoriden zu diagnostizieren muss erst ne darmspiegelung sein😂lächerlich;1;
;Weiße Hemden sind nach der Reinigung Wurstfarben;trotz mehrmaliger Reklamation kein Fehlereingeständnis vom Besitzer.;5;
;Man sehe ab von diesem Wirtshause;Kundenservice nicht für das kundenvolumen ausgelegt. Maschinen wollen einem erklären man könnte alles selbst online lösen. Verdammt eher Netz hat Störungen ich will es melden. Sonst nichts. 60 Euro im Monat für eine nicht funktionieren die Dienstleistungen und schlechten service. So ist das wenn monopole vom Staat nicht reguliert werden. Saftladen;2;
;Das Essen war auch kalt!;Von gutem Service keine Spur! Ich habe 20 Minuten in der Kundenservice Warteschleife gehangen, um dann von dem Technik Berater weggedrückt zu werden. Ein weiterer Versuch gab eine Wartezeit von 45 Minuten an. Was ist das Bitte für ein Service?! Das ist wirklich das Letzte. Ich frage mich wirklich, wie das Unternehmen weiter bestehen kann!;1;
;5 Sterne – gerne wieder!;Ich finds einfach nur übertrieben wie die verarschen...;1;
;Mein Dad ist blöd;Mein Dad, der sich nicht so gut mit handys und so auskennt wollte sich nur einen günstigen tarif kaufen... Nach 1 stunde kam er zurück mit einem Tarif mit einem s7 und 10 gb lte für 50€ im Monat.;1;
;Lieber zur Konkurrbinz;Wir haben nur 16/MBits Leitung... das Internet ist sehr langsam!;1;
;Nicht zu empfehlen;sehr unzufrieden, Selbstbeteiligung wurde ungerechtfertigt einbehalten, Klärung war nur über Anwalt möglich;1;
;Transportner nie mahl’s wieder von diesem Schankwirtschaft!!!;Ein Stern ist noch zu viel. Wir haben für unseren Umzug einen Transporter gebucht und ein Tag vor dem Umzug bekam ich einen Anruf, dass es Ihnen furchtbar leid täte, aber der Transporter wäre leeeeeeeeeeeeider nicht mehr da. Finger weg!;1;
;1 mega tasty Mampf! ;"Neva eva hab ich so ein leckeres Gecooktes ge-eatet. Leider seit Neuestem Hausverbot wegen Erregung öffentlichen Ärgernisses. ups… ;-)";5;
;Eingedenk der Wurstvarianten wurde ich hier zum Veganer.;;1;
;Mann sollte sein eigenes Klohpapier mitbringen;Kein Klo-Papier auf dem Klo! Fiel mir natürlich erst hinterher auf… :((((((;3;
;Das Gesundheitsamt sollte hier mal aktiw verden. Stümper.;"NULL PUNKTE!!! Erst auf Nachfrage wurde mir erklärt, dass sich im Leberkäs weder Leber noch Käse befinden. Ein derartiger Betrug an gut zahlender Kundschaft ist ja wohl das Allerletzte. Sie hören von meinem Anwalt. Lol. 5 Sterne – gerne wieder!";5;
;Ceterum censeo Carthaginem esse delendam.;;3;
;War hier mit meiner Familie;"wussten nicht, dass es sich um eine Nackt-Bar handelt. 5 Punkte – gerne wieder.";5;
;Als Vegetarierer wird man hier nicht Ernst genommen.;;1;
;Was soll das heißen, ich bin zu betrunken??! Immerhin habe ich noch eine Hose an!;;5;
;Danke Merkel.;;4;
;*rülps*;;5;
;Flotter Enrico;1 ungutes Speisetime gehabt. Stichwort: flotter Heinrich! Nun innerliche Reinheit. Nice.;5;
;Deluxe;;0;
;3 Punkte. Gerne wieder.;"Eigentlich wollte ich ja nur einen Burger. Doch ich bekam noch so viel mehr: Lebensmittelvergiftung.";3;
;Da bleibt keine Hose trocken!;;3;
;Schleschteste Laden von Weld!;Ich hab ein protjon sexer schicke Naggingtts bestelt aber sie Haben mir Gesagt das es dass Nicht aquf der Speisekate gibbe!!1!!!11seid wahn wird Mann als Kunde Ei kenntlich so Behandlung???ß?? 5 Punkte – gerne wieder.;5;
;Normale Haltestelle.;;0;
;Gusto;"Ich bin des Treibens müde Was soll der Schmerz? Die Lust?  Süße Würste kommt, ach kommt In meine Brust";2;
;wAhr okey;Alles palermo.;4;
;0190 433 433 (91 Pfg. aus d. dt. Festn./mobil evtl. abweichend);"Nullhundertneunzig vierdreidrei vierdreidrei. Für einundneunzig Pfennig – bist du dabei! - Vierdreidrei vierdreidrei.";6;
;Wir waren nicht zufriedenzustellen;5 Sterne sind noch zu gut für diesen Saftladen!;5;
;Lächerlicher Saftladen;"Deliziöses Essen. Das Preis-Leistungsverähltnis ist mehr als fair! Ein wunderbar geschmackvolles Interieur und ein Personal, dass seinen Gästen jeden Wunsch von den Lippen abliest. Hier ist der Gast noch König. Alles Speisen vom Chef mit Hingabe und unerschütterlicher Liebe zubereitet, und vom Wirt höchstselbst auf Silbertabletts im Schweiße seines Angesichts serviert. 1 tadelloser Laden. Leider erschien mir das hilfsbereit-freundliche Lächeln der Klo-Frau als nur aufgesetzt, weswegen ich nur 0 Punkte vergeben kann. Die Geschäftsleitung sollte im Hügijenebereich künftig ausschließlich nur noch hochmotivierte Akademiker, Promotion erwünscht, einstellen.";0;
;% Sterne. Gerne wieder!!;Bin hier Stammgast und kann den Laden daher eigentlich guten Gewissens nicht empfehlen.;0;
;Sahara-Sandstürme druchfegen mein Essen;Es ist leichter, dass 1 Kamel durch 1 Nadelöhr gehe,  als dass 1 solche Rindsroulade in den Bereich m1es Magens komme. Ein Bisschen mehr Soße wäre nützlich.;3;
;Is mir Wurst;In dieser Nacht, eher der Hahn kräht, wirst du mich drei mal bebraten.;5;
;Unge Nies baresv om Schweinehund;Mein Schweinsbraten war nicht al dente.;2;
;MENE MENE TEKEL UPHARSIN;;0;
;Mein Eis war zu kalt – ich hatte die ganze Nacht Durchfall…;;0;
;Wenn ich ungenießbar essen will, koche ich selbst!;;5;
;Nicht zu empfehlen;Von Fleischplanzerln und Flügeln entflohen mir flaue Flatulenzen und flotte Fladen flugs. 5 Sterne. Gerne wieder.;5;
;5 STRENE!!!!!!;Es heißt, hier würde Katzenfleisch serviert… 5 Sterne!!;5;
;5 STRENE!!!!!!;Man sagt, hier würden Kannibalen verkehren… 5 Sterne!!;5;
;5 STRENE!!!!!!;Es heißt, im Kühlbereich der Küche befände sich ein Atommüllendlager… 5 Sterne!!;5;
;5 STRENE!!!!!!;Es gibt das Gerücht, der Chefkoch sei Satanist… 5 Sterne!!;5;
;5 STRENE!!!!!!;Es geht das Gerücht, bei den Kartoffeln würde es sich um Antimaterie handeln… 5 Sterne!!;5;
;5 STRENE!!!!!!;Man hört, die Illuminaten träfen sich hier… 5 Sterne!!;5;
;5 STRENE!!!!!!;Es heißt, der Chefkoch sei zugleich als Doping-Arzt im Radsport tätig… 5 Sterne!!;5;
;5 STRENE!!!!!!;Man munkelt, der Kellner sei der wahre Thronfolger… 5 Sterne!!;5;
;5 STRENE!!!!!!;Man erzählt sich, der Besitzer sei einstmals von Tieren aufgezogen worden… 5 Sterne!!;5;
;5 STRENE!!!!!!;Es wird gemunkelt, beim Bier handele es sich in Wrklichkeit um Einhorn-Kotze… 5 Sterne!!;5;
;Kein Stern für Rassismus!;Ich möchte diesen Teppich nicht kaufen.;0;
;Lol;Kultig!;0;
;Jeder Stern sind 5 zuviele, ihr Stümperbagasch!!;Unterirdischer Service, grausames Essen, beschissene Atmosphäre, Klientel hundsmiserabel. Bier-Plörre günstig. 5 Sterne. Gerne wieder.;5;
;Die Kinder sind imma die Leitdragenden. Lol.;"Mein Schnitzel nahm eine obszöne Form ein. Die Spargel sahen phallisch aus. Ebenso die große Gurke - ganz zu schweigen von der Zutschini und der Oberschiene. Ich sag nur: Melonen… Irgendetwas läuft hier gründlich schief in diesem Etablißmong. Was ist, wenn hier mal Kinder zu Gast sind? Wird denen auch so ein Schweinskram vorgesetzt? Ich sage, Pfui! Schande.";1;
;Abgesang;"Die einstmals glorreiche bayrische Küche – hier liegt sie geschändet… (Was übrigens auch diese Plattform tut.) Wo sind sie bloß hin, jene Tage, als für eine echte Weißwurst nur allerfeinste Iltis-Hoden aus Ostsibirien Verwendung fanden? Als man seine satte Zufriedenheit durch das Wiederkäuen des Verspeisten äußerte, und das Bier noch aus den Tränen der Feinde Bayerns gebraut wurde? Ach, ihr glücklichen Zeiten – wohin nur seit ihr entschwunden? Mein Herz – es ist entzwei… :( 5 Sterne. Gerne wieder!";5;
;Chapeau, Schoppen-Schuppen!;Urst glotze, der Schuppen!;2;
;Keine erotische Massage!;Nicht nur, dass die laut Schild keine erotische Massage anbieten, man wird auch noch blöd angeguckt, wenn man eine solche trotzdem fordert. So verprellt man seine Kunden…!!;0;
;Fahrt zur Hölle!!!;"Was nur wenige wissen: Der Name „OBI“ bedeutet auf Latein „stirb“. Danke Merkel.";5;
;1 differenzierte Kirtikpunkt;Wiener Schnitzel in München. Wollt ihr mich schaukeln…?!!;2;
;Unangemessene technische Anachronie;Digga-Alta: WLAN tut niocht! Hallo?! In welchem Jarhundert leben wir denn, Alter…!;1;
;Auch ohne Hos ganz und gar famos;#hierkannmanauch #untenohne #passabelessen denn #weranderbekleidungspart #mussnichtamessen #auchsparen;3;
;Ossi-Alahm;Nur Ossis in dem Laden, ey!;0;
;Scheiss Kapitalismus;Klohpapier gibt’s nur gegen Aufpreis – 1 Rolle: 100 Euros. Nice;4;
;Künftig ausschließlich nur noch zu anderen Proktologen!;;3;
;Künftig ausschließlich nur noch zu anderen Autowerkstätten!;;0;
;Künftig ausschließlich nur noch zu anderen Reisebüros!;;0;
;Künftig ausschließlich nur noch zu anderen Autowaschanlagen!;;0;
;Künftig ausschließlich nur noch zu anderen Bestattungsunternehmen!;;0;
;Künftig ausschließlich nur noch zu anderen Steuerberatern!;;0;
;Künftig ausschließlich nur noch zu anderen Pathologen!;;0;
;Künftig ausschließlich nur noch zu anderen Staubsaugervertretern!;;0;
;Künftig ausschließlich nur noch zu anderen Baumwollplantagenbesitzern!;;0;
;Künftig ausschließlich nur noch zu anderen Mittelaltermärkten!;;0;
;Künftig ausschließlich nur noch zu anderen Swinger-Clubs!;;0;
;Künftig ausschließlich nur noch zu anderen Reizwäschefachhandlungen!;;0;
;Künftig ausschließlich nur noch zu anderen Trainspotter-Events!;;0;
;Künftig ausschließlich nur noch zu anderen Drogenberatungsstellen!;;0;
;Künftig ausschließlich nur noch zu anderen Forschungsdatenmanagern!;;0;
;Künftig ausschließlich nur noch zu anderen Auftragskillern!;;0;
;Künftig ausschließlich nur noch zu anderen Pizzabäckern!;;0;
;Künftig ausschließlich nur noch zu anderen Uhrmachern!;;0;
;Künftig ausschließlich nur noch zu anderen Söldnertruppen!;;0;
;Künftig ausschließlich nur noch zu anderen Drogendealern!;;0;
;Künftig ausschließlich nur noch zu anderen Teilchenbeschleunigern!;;0;
;Künftig ausschließlich nur noch zu anderen Atommüllendlagerstätten!;;0;
;Künftig ausschließlich nur noch zu anderen Raumfahrtunternehmen!;;0;
;Künftig ausschließlich nur noch zu anderen Verkehrspolizisten!;;0;
;Künftig ausschließlich nur noch zu anderen Kirchenoberhäuptern!;;0;
;Künftig ausschließlich nur noch zu anderen Todesschwadronen!;;0;